addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
"경기도 가평군 가평읍 문화로 131","","31","0","A02","A0206","A02060600","130220","14","20060608090000","http://tong.visitkorea.or.kr/cms/resource/34/1589034_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/34/1589034_image3_1.jpg","Type3","127.5085264086","37.8242478130","6","20240823153354","1","","가평문화예술회관","12416"
"경기도 가평군 가평읍 문화로 131","","31","0","A02","A0206","A02060700","129877","14","20071106103359","http://tong.visitkorea.or.kr/cms/resource/64/1785864_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/64/1785864_image3_1.jpg","Type3","127.5085264086","37.8242478130","6","20240823153605","1","","가평문화원","12416"
"경기도 가평군 설악면 유명로 1209","","31","","A05","A0502","A05020900","2724858","39","20210708180335","http://tong.visitkorea.or.kr/cms/resource/92/2723992_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/92/2723992_image3_1.jpg","Type3","127.4737542806","37.6438875816","6","20240530102410","1","","가평양떼목장카페","12469"
"경상남도 창원시 마산합포구 가포본동7길 11-13","(가포동)","36","0","A02","A0202","A02020700","2783808","12","20211130231853","http://tong.visitkorea.or.kr/cms/resource/30/2799930_image2_1.JPG","http://tong.visitkorea.or.kr/cms/resource/30/2799930_image2_1.JPG","Type3","128.5842831951","35.1552892222","6","20230621145451","16","","가포수변공원","51755"
"충청남도 천안시 동남구 각원사길 245 (안서동)","","34","0","A02","A0201","A02010800","125885","12","20031205090000","","","","127.1964300734","36.8338567886","6","20240920093124","12","","각원사","31066"
"인천광역시 남동구 백범로 312-1","(간석동)","2","","A04","A0401","A04010200","2766259","38","20211102184528","","","","126.7153756657","37.4639420354","6","20240930111417","4","","간석자유시장","21511"
"충청남도 서산시 부석면 간월도리","","34","0","A02","A0203","A02030100","129045","12","20060622090000","http://tong.visitkorea.or.kr/cms/resource/20/2518020_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/20/2518020_image2_1.jpg","Type3","126.4227029018","36.6192846446","6","20241029150916","7","","간월도마을","32023"
"울산광역시 울주군 서생면 간절곶1길 39-2","","7","0","A01","A0101","A01011600","128022","12","20031215090000","http://tong.visitkorea.or.kr/cms/resource/94/2648694_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/94/2648694_image3_1.jpg","Type3","129.3605738299","35.3589668021","6","20240925145729","5","052-239-6313","간절곶 등대","45015"
"강원특별자치도 원주시 소금산길 12","","32","0","A02","A0202","A02020700","126644","12","20030328090000","http://tong.visitkorea.or.kr/cms/resource/72/3388672_image2_1.JPG","http://tong.visitkorea.or.kr/cms/resource/72/3388672_image3_1.JPG","Type3","127.8340575195","37.3646293574","6","20241016144607","9","","간현관광지","26359"
"경기도 의왕시 문화예술로 65","(내손동)","31","0","A02","A0202","A02020700","2749170","12","20210924201939","","","","126.9849674131","37.3780068044","6","20240909163242","24","","갈미한글공원","16038"
"부산광역시 부산진구 서면문화로 32","","6","","A05","A0502","A05020100","2607508","39","20190621015919","http://tong.visitkorea.or.kr/cms/resource/11/2607511_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/11/2607511_image2_1.jpg","Type3","129.0563669161","35.1599862176","6","20240823170635","7","051-714-4457","갈비곳간","47256"
"경기도 포천시 이동면 화동로 2000","","31","","A05","A0502","A05020100","699542","39","20090226003138","http://tong.visitkorea.or.kr/cms/resource/21/700321_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/21/700321_image3_1.jpg","Type3","127.3688776584","38.0263661321","6","20240724180110","29","031-531-1700","갈비명가할머니집","11111"
"전북특별자치도 군산시 하나운1길 15","(나운동)","37","","A05","A0502","A05020100","2568281","39","20181121202811","","","","126.6982062510","35.9679251522","6","20241014152547","2","0507-1302-2832","갈비스토리","54131"
"서울특별시 양천구 신정동 162-56","","1","0","A02","A0202","A02020700","1116925","12","20101026223528","http://tong.visitkorea.or.kr/cms/resource/62/2612062_image2_1.bmp","http://tong.visitkorea.or.kr/cms/resource/62/2612062_image2_1.bmp","Type3","126.8684105358","37.5061176314","6","20240424122344","19","","갈산근린공원","08104"
"충청북도 음성군 감곡면 성당길 10","","33","0","A02","A0201","A02010900","1114686","12","20101021190531","","","","127.6411569266","37.1213983401","6","20240919152137","6","","감곡매괴성모순례지성당","27602"
"충청북도 음성군 감곡면 장감로132번길 22","","33","","A04","A0401","A04010100","132406","38","20040223090000","","","","127.6391460878","37.1182042275","6","20230704140126","6","","감곡장 / 감곡시장 (3, 8일)","27604"
"제주특별자치도 서귀포시 효돈순환로 441","(신효동)","39","0","A02","A0206","A02060100","590415","14","20080719013858","","","","126.6080904173","33.2711819574","6","20240325160256","3","","감귤박물관","63605"
"서울특별시 마포구 연남로 25","","1","","A05","A0502","A05020100","2843816","39","20220824165529","http://tong.visitkorea.or.kr/cms/resource/12/2843812_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/12/2843812_image3_1.jpg","Type3","126.9219151974","37.5619509880","6","20240502172158","13","","감나무집기사식당","03988"
"강원특별자치도 평창군 진부면 오대산로 152","7동 1호","32","","A05","A0502","A05020900","2795303","39","20211214191709","http://tong.visitkorea.or.kr/cms/resource/14/2795214_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/14/2795214_image2_1.jpg","Type3","128.6019054887","37.7167114649","6","20240922112002","15","","감로다원","25318"
"부산광역시 남구 감만동 171-2","","6","","A04","A0401","A04010200","2788346","38","20211208020627","","","","129.0824213919","35.1166137767","6","20240717215737","4","","감만시장",""
"대구광역시 서구 서대구로3길 43","(내당동)","4","0","A02","A0202","A02020700","1118418","12","20101028191433","http://tong.visitkorea.or.kr/cms/resource/87/2493687_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/87/2493687_image2_1.jpg","Type3","128.5522334637","35.8586426972","6","20241024174628","6","","감삼못공원","41856"
"강원특별자치도 화천군 상서면 감성마을길 157","","32","0","A02","A0202","A02020600","2569515","12","20181125015331","http://tong.visitkorea.or.kr/cms/resource/93/2566293_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/93/2566293_image3_1.jpg","Type3","127.5162822381","38.1665774939","6","20241024154336","17","","감성마을 이외수 문학관","24104"
"충청북도 음성군 음성읍 생음대로 594","","33","0","A02","A0206","A02060200","987769","14","20100327024419","http://tong.visitkorea.or.kr/cms/resource/25/3335425_image2_1.JPG","http://tong.visitkorea.or.kr/cms/resource/25/3335425_image3_1.JPG","Type3","127.6470390172","36.9506931176","6","20240719154434","6","","감우재전승기념관","27685"
"강원특별자치도 평창군 평창읍 고길천로 105","","32","0","A02","A0203","A02030400","2524116","12","20170831090043","http://tong.visitkorea.or.kr/cms/resource/00/2531500_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/00/2531500_image2_1.jpg","Type3","128.4388806611","37.3688513197","6","20231031100358","15","","감자꽃 스튜디오","25370"
"부산광역시 사상구 새벽로168번길 21-11","(감전동)","6","","A04","A0401","A04010200","2785609","38","20211203185344","http://tong.visitkorea.or.kr/cms/resource/46/2790946_image2_1.JPG","http://tong.visitkorea.or.kr/cms/resource/46/2790946_image2_1.JPG","Type3","128.9845760414","35.1563630778","6","20240722101756","9","","감전제일상가시장","46981"
"인천광역시 서구 가정로98번길 18","(가좌동)","2","0","A02","A0202","A02020700","2767573","12","20211103190015","http://tong.visitkorea.or.kr/cms/resource/10/3395610_image2_1.JPG","http://tong.visitkorea.or.kr/cms/resource/10/3395610_image3_1.JPG","Type3","126.6736203249","37.4932378921","6","20241024155951","7","","감중공원","22838"
"경상북도 경주시 감포읍 감포로","감포리","35","0","A01","A0101","A01011400","128677","12","20051121090000","","","","129.5040374805","35.8078329413","6","20240423220227","2","","감포항","780-830,1"
"인천광역시 강화군 강화읍 해안동로1366번길 18","","2","0","A02","A0201","A02010200","1254680","12","20110412020054","http://tong.visitkorea.or.kr/cms/resource/71/3364171_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/71/3364171_image3_1.jpg","Type3","126.5171140395","37.7335377029","6","20240912181841","1","","갑곶돈대","23027"
"전라남도 목포시 남농로 135","일대 (용해동)","38","0","A02","A0203","A02030600","126828","12","20040224090000","","","","126.4209824186","34.7936564349","6","20241014143327","8","","갓바위 문화타운","58699"
"서울특별시 강남구 언주로168길 5 지미안빌딩","2층","1","","A05","A0502","A05020300","2869670","39","20221018164800","http://tong.visitkorea.or.kr/cms/resource/55/2869655_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/55/2869655_image3_1.jpg","Type3","127.0340448682","37.5266682092","6","20240711104122","1","","갓포 마코토","06017"
"전라남도 해남군 문내면 관광레저로 12","","38","0","A02","A0206","A02061100","1623934","14","20120507225428","","","","126.3108529592","34.5732988681","6","20231210150456","23","","강강술래 전수관","59004"
"충청남도 논산시 계백로105번길 8-4","","34","","A04","A0401","A04010100","2913835","38","20221121151738","http://tong.visitkorea.or.kr/cms/resource/24/2913824_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/24/2913824_image3_1.jpg","Type3","127.0129759676","36.1555869215","6","20240828164804","3","","강경대흥시장","32930"
"충청남도 논산시 강경읍 옥녀봉로27번길 30-3","","34","","A04","A0401","A04010200","132519","38","20031117090000","","","","127.0153645321","36.1597837058","6","20240124171303","3","041-745-1985","강경젓갈시장","32935"
"경기도 여주시 대신면 천서리길 26","","31","","A05","A0502","A05020100","133184","39","20030829090000","http://tong.visitkorea.or.kr/cms/resource/99/1188599_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/99/1188599_image3_1.jpg","Type3","127.5489738547","37.4032390852","6","20240922112357","20","031-882-8300","강계봉진막국수","12608"
"경상북도 영덕군 강구면 강구시장1길 8-1","(강구면)","35","","A04","A0401","A04010100","132114","38","20021126090000","http://tong.visitkorea.or.kr/cms/resource/38/1801838_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/38/1801838_image3_1.jpg","Type3","129.3613142643","36.3684417821","6","20230322092721","12","054-730-6233","강구장 (3, 8일)","36458"
"경상북도 영덕군 강구면 강구리 253-51","","35","0","A01","A0101","A01011400","988459","12","20100330033830","http://tong.visitkorea.or.kr/cms/resource/24/2648724_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/24/2648724_image3_1.jpg","Type3","129.3900036722","36.3592989277","6","20241018155035","12","","강구항","36459"
"경상남도 함안군 칠서면 삼칠로 1235-50","","36","0","A01","A0101","A01010500","2712922","12","20210401222018","http://tong.visitkorea.or.kr/cms/resource/04/2755204_image2_1.JPG","http://tong.visitkorea.or.kr/cms/resource/04/2755204_image2_1.JPG","Type3","128.5092306571","35.3898253912","6","20240919101541","19","","강나루생태공원","52004"
"서울특별시 강남구 영동대로 513","(삼성동)","1","0","A02","A0202","A02020200","2456536","12","20161214231140","","","","127.0591318945","37.5118092746","6","20230503114647","1","","강남 마이스 관광특구","06164"
"서울특별시 서초구 신반포로 194","","1","","A04","A0401","A04010600","132201","38","20031117090000","","","","127.0071923683","37.5050868999","6","20240709142807","15","02-533-2489","강남고속터미널 혼수상가","06545"
"서울특별시 강남구 논현로131길 40 (논현동)","","1","0","A02","A0206","A02060700","130373","14","20071106105448","http://tong.visitkorea.or.kr/cms/resource/87/1807787_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/87/1807787_image3_1.jpg","Type3","127.0271208603","37.5139001229","6","20240926195929","1","","강남문화원","06045"
"경기도 부천시 옥산로154번길 21","(도당동)","31","","A04","A0401","A04010200","2781673","38","20211126204741","http://tong.visitkorea.or.kr/cms/resource/98/2781998_image2_1.png","http://tong.visitkorea.or.kr/cms/resource/98/2781998_image2_1.png","Type3","126.7814628668","37.5075353634","6","20230321103207","11","","강남시장","14526"
"서울특별시 서초구 서초대로74길 49","(서초동)강남아르누보씨티호텔","1","","B02","B0201","B02010100","2650614","32","20200328004421","http://tong.visitkorea.or.kr/cms/resource/94/2650594_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/94/2650594_image2_1.jpg","Type3","127.0282157821","37.4934858463","","20240611102428","15","02-580-7300/7400","강남아르누보씨티호텔","06626"
"서울특별시 강남구 테헤란로5길 11","","1","","A05","A0502","A05020100","2871478","39","20221020111559","http://tong.visitkorea.or.kr/cms/resource/64/2871464_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/64/2871464_image3_1.jpg","Type3","127.0292766253","37.4995434958","6","20240701173543","1","","강남진해장","06134"
"전라남도 여수시 학동6길 1","1층","38","","A05","A0502","A05020100","2871686","39","20221020135004","http://tong.visitkorea.or.kr/cms/resource/76/2871676_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/76/2871676_image3_1.jpg","Type3","127.6668652904","34.7636307887","6","20240628095536","13","","강남집","59679"
"서울특별시 강남구 영동대로131길 26","","1","","A03","A0302","A03020200","131139","28","20030527090000","http://tong.visitkorea.or.kr/cms/resource/23/2462023_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/23/2462023_image3_1.jpg","Type3","127.0541432145","37.5204498480","6","20230814141857","1","02-544-9725","강남청소년수련관","06073"
"경상북도 경주시 보불로 391 (천군동)","","35","0","A02","A0202","A02020600","2044527","12","20151202005240","http://tong.visitkorea.or.kr/cms/resource/71/3326671_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/71/3326671_image3_1.jpg","Type3","129.3056850979","35.8179335881","6","20240710092505","2","","강동 워터파크","38118"
"서울특별시 강동구 천호대로206길 87","(둔촌동)","1","","A03","A0302","A03021700","1017568","28","20100510192214","http://tong.visitkorea.or.kr/cms/resource/69/2030469_image2_1.jpg","http://tong.visitkorea.or.kr/cms/resource/69/2030469_image3_1.jpg","Type3","127.1540697938","37.5358637478","6","20240528110344","2","","강동그린웨이 가족캠핑장","05357"
